
9.65, 12.9, 0
9.6, 12.15, 0
10.3, 12.9, 0
10.2, 12.3, 1
10.8, 12.65, 1
9.9, 11.7, 1
10.5, 11.65, 1
10.95, 12.15, 1
11.1, 13.3, 1
11.25, 14.1, 1
11.7, 14.7, 1
12.2, 14.3, 1
11.7, 13.8, 1
11.6, 13.1, 1
11.55, 12.5, 1
11.25, 11.65, 1
11.65, 11.05, 1
12.05, 10.5, 1
12.3, 9.9, 1
12.75, 10.25, 1
12.5, 10.9, 1
12.1, 11.35, 1
11.7, 11.9, 1
10.95, 11.1, 1
11.3, 10.6, 1
11.65, 10.1, 1
11.9, 9.55, 1
9.6, 11.3, 1
9.15, 10.9, 1
7.5, 9.05, 1
6.85, 8.9, 1
6.2, 8.8, 1
5.5, 8.75, 1
4.9, 8.65, 1
4.3, 8.65, 1
3.7, 8.6, 1
3.05, 8.55, 1
8, 9.3, 1
8.05, 8.7, 1
8, 8.1, 1
8.05, 7.45, 1
8.2, 6.85, 1
8.4, 6.35, 1
8.7, 5.75, 1
9.3, 5.85, 1
8.95, 6.35, 1
8.65, 7.05, 1
8.55, 7.7, 1
8.5, 8.35, 1
8.6, 9.1, 1
8.4, 9.8, 1
8.95, 9.7, 1
8.75, 10.35, 1
10.25, 11.15, 1
9.75, 10.65, 1
9.4, 10.25, 1
10.5, 10.7, 1
10.1, 10.3, 1
9.75, 9.75, 1
9.4, 9.4, 1
9.15, 8.9, 1
9.05, 8.5, 1
8.95, 7.9, 1
9.15, 7.3, 1
9.35, 6.7, 1
9.65, 6.15, 1
7.5, 8.5, 1
6.9, 8.4, 1
6.3, 8.25, 1
5.75, 8.25, 1
5.2, 8.1, 1
4.6, 8.1, 1
4.05, 8.15, 1
3.45, 8.1, 1
2.95, 9.15, 1
3.55, 9.05, 1
4.3, 9.05, 1
4.9, 9.2, 1
5.55, 9.25, 1
6.2, 9.35, 1
6.85, 9.45, 1
7.45, 9.6, 1
8, 9.9, 1
2.95, 7.55, 1
3.6, 7.65, 1
4.25, 7.7, 1
5, 7.7, 1
5.75, 7.8, 1
6.3, 7.85, 1
7.1, 7.95, 1
12.1, 15.1, 5
12.5, 14.7, 5
12.35, 9.35, 4
13.3, 9.95, 4
12.8, 9.6, 4
8.95, 5.35, 3
10, 5.8, 3
9.7, 5.45, 3
9.3, 5.1, 3
2.4, 9.25, 2
1.75, 8.65, 2
2.5, 8.55, 2
1.95, 7.95, 2
2.65, 7.95, 2
2.3, 7.45, 2
